LABEL ,COMMENTS
Negative ,"This trailer was good. The movie? Not so much.... I am so disappointed and heartbroken that this dumpster fire ""World"" trilogy is the way the Jurassic film series ends."
Negative ,Terrible film. They need to leave classics alone and let them be
Negative ,Don't pay to watch this movie... It's shit
Positive ,I love Jurassic world
Negative ,At some points I thought I was watching  mission impossible
Negative ,Stop
Neutral ,Going to see it on Dolby surround sound in 1hr.
Negative ,Wasted potential after watching the movie. Sad this franchise went out this way.
Negative ,This is stupid
Negative ,Awful movie
Negative ,They can’t live in the cold their cold blooded I’m confused.
Neutral ,I guess this is the final chapter of Jurassic World.
Positive ,Good
Neutral ,This shit is about as good as Dragon Ball Evolution
Negative ,"It can't end like this, the moving was so lackluster.."
Positive ,Blue has a baby dinosaur. So cute
Positive ,This was actually decent. Shocked me since none have been good since the first. 2hrs & 40minutes though for some fake cgi dinosaurs is way too long.
Negative ,I'm not even half way through the movie and I'm ready to turn it off. This isn't a JP movie.
Negative ,I fell asleep watching this it was boring as hell
Neutral ,Ooooo
Negative ,the first 3 for me will always be the best . the first FAF were the best as well. same with the terminator. it seems after 3 it goes down hill . 3 is the lucky number.
Negative ,No way
Negative ,Kind of getting tired of seeing Andy Dwyer and anything
Neutral ,I'm making a YouTube channel some day. 2023 ?
Negative ,Just incase you didn't notice clair has a real physics issues she chased by a flying dinassuce and in a muddy situation poor bitch
Positive ,I loved this movie! Anyone else
Negative ,Vfx are not that good
Negative ,"Terrible movie… really I was expecting more from it. Not just a movie who is afraid to put real action, real horror, and a real script. 4/10"
Positive ,"This movie should definitely win an *Oscar* for ""Best Visual Effects"", they are top notch here!) 🔥"
Positive ,I actually found it entertaining and people disappointed with it went in thinking it would be something else . It's entertaining and that's all that matters in this type of movie !
Negative ,These movies are the equivalent of a 2.5 hour long fast food commercial
Negative ,That was funny😂🎉🎉🎉🎉🎉
Negative ,This was the worst movie ever seen. Just one big propaganda documentary
Negative ,"Again, Americans with perfect video quality, high budget but trash scenario"
Negative ,Huge disapoing after watching.....
Positive ,Ima go XD
Positive ,"I love trio Jurassic Park 😘,my fave when I was in elementary school 😍🤩"
Positive ,omg yes we have a trilogy now
Negative ,"The plot of terrible, even the CGI was terrible."
Positive ,"Love Jeff G. ""Bigger......Why do they always have to go Bigger? """
Negative ,BOOOOOORIIIIING.
Negative ,The best and most iconic part from this movie was when the roll credit appeared
Negative ,"Nothing beats the first movie, everything else is   Sad. Story line sucks ass.."
Positive ,"I seen this movie, it was f*ckin awesome. I love it"
Neutral ,”We’re gonna need a better conclusion”
Negative ,"Okay, the movie was meh. Maybe even bad. But we can all admit one thing: The trailer freaking SLAPS"
Negative ,"15 minutes in, and the *real creative writers* in Hollywood have come up with an Evil Corporation storyline. Man, these guys are good."
Positive ,The best movie loved it
Positive ,WOOOOOOO
Negative ,I'm watching this on peacock. So far the intro is not the best. CGi is bad.  Waist of money whoever agreed to pay for this junk..
Positive ,I know it was good  my sister  went  to see it hahahah 😁❤❤❤❤
Positive ,Super movie😄
Negative ,BS movie. i lost my respect for spielberg. he's the only one who could make proper sequels for this franchise..
Negative ,What were they thinking? I was really disappointed in this one. Movie was boring. I didnt even watch the last 18 minutes of the film.
Positive ,you were absolutly wonderful sara diescthy
Positive ,"I’m literally crying right now,the Jurassic series was my life,I’ve watched all the movies through and through seeing it go really hit me hard😔."
Positive ,"WOWOW Laura Dern and Sam Neill are in this, this is nostalgia at its finest!"
Negative ,Garbage
Negative ,Bad Movie
Positive ,Great references to bill gates trying to control the world's food supply. They hit the nail on the head with this one.
Negative ,This movie was absolute garbage 🗑
Negative ,One ugly movie. I watched it because they brought back the actors from the first jurassic park movie. Its nothing compared to it.
Negative ,You know movie sux bad when you dont even download it via pirate
Positive ,This was a masterpiece this was sick
Negative ,worst movie in Jurassic park history
Negative ,"I'm sorry, this is the kind of movie that makes it really hard not to think about how much good 185 million dollars could have done in this world."
Negative ,Same story as the last movie quite bad lol
Positive ,"Just watched it, not disappointing"
Neutral ,Please update Version HD
Negative ,This movie sucked 👎 What did I watch? Indiana Jones?
Positive ,Fuck the critics. This flik kicks ass
Negative ,Can they stop with the whole ✋thing. It's getting very cringey 🥴
Positive ,Hey Steve Martin is in this?  It's gotta be good.  😂
Negative ,Almost every scene in this movie was a copy from a scene or scenario in the first movie. I couldn't wait for it to be over. Fell asleep  twice 😴
Negative ,Chris Pratt is such a terrible over dramatic actor.He just looks like he’s trying too hard and makes it cringe.
Negative ,I guess JP3 isn't the worse movie out of all of them now seeing as this one exists
Positive ,This brings tears to my eyes tbh because I grew up watching these and this was the last 1☹
Negative ,Hollywood movies are getting worse and worse.  Sure glad i didn't pay to see crap.   Oh none of the actors get eaten just a few extras.
Positive ,This movie was great
Negative ,This movie was straight trash.
Negative ,Just watched this…what the hell did I just watch..
Negative ,This movie sucked
Negative ,Bad movie without fantasy dont watch
Positive ,Chris Pratt is greatest green screen actor of our time
Negative ,These new sequels are total dog sh*t
Negative ,It’s a same old story. Nothing new . Either it’s really boring or I am too old now 😂😂
Positive ,Amazing scenes...
Positive ,Amazing...
Neutral ,Star lord from the mcu
Neutral ,One of the strangest movies of this year lmao.
Negative ,Bad movie
Positive ,Can't wait to watch it not on Netflix where I can watch it
Positive ,"😍😍Just watched the movie,, its epic,, I felt like I was in the movie. 5 star for this one.  Excellent"
Negative ,I don't understand why you have ruin this part of movie totally disappointing.The movie is totally opposite then the trailer.
Negative ,Very very bore filmmmm..... 🙏🙏🙏
Positive ,"I'm gonna love this , the exiting part was blue got a kid !! 🤧🥰"
Neutral ,Dinosaurs died 66 million years ago but they are alive in the 19s!?
Negative ,Finally got around to watching this as I had low expectations and well yeah … it was awful 😅
Negative ,"I just came to say. That was the worst Jurassic Park movie of them all. How did you do that, I don’t know. I got a sense of relief when i saw the credits."
Negative ,This was horribly awful
Positive ,cool
Negative ,Bit disappointing storyline is bery slow
Positive ,I’m watching the movie today im excited 😊
Negative ,B rated movie for B rated society.
Positive ,Thursday 25th August 2022. I saw Jurassic Dominion in the Cinema with my friend Isobel Mason and we both loved it! 💜 Virginia Clark.?! ;) ;( :) 😊🐷🐶🦊🐺🦕🦖.
Positive ,I watched the movie it was amazing!
Negative ,"they need to stop this franchise just like Fast & Furious , it's becoming ridiculous"
Negative ,"After just watching the movie, I would say that some stories are best left extinct."
Neutral ,It's has Tim Cock in this movie.
Negative ,"Well now we have 3 good films (JP, JP2, JW) and 3 terrible ones (JP3, JW2, JW3) can we stop now please."
Positive ,I liked jurassic Park when i was a kid and i still liké it
Negative ,They turned the franchise into a God damn Pokémon movie!
Negative ,Not a good movie that I was expected
Negative ,Worst movie I ever watched
Positive ,Can’t wait for it to start as long as it ain’t on Peacock Premium.
Positive ,Wow - the trailer alone got over 59 million views.
Negative ,"Wtf, woke Hollywood turned a dinosaur movie into a fast and furious finding a little girl plot with a unnatural monster dinosaur with terrible action"
Positive ,i loved this
Positive ,I am truly amazed !!! . Could you all imagine seeing this @ a mega Imax theater not just your regular theater screen ??? OMG or what y'all !!! Lol
Positive ,i like the movie lkit Claw
Negative ,"I’m not wasting 2 hours of my life,.. I’ll PASS"
Negative ,Garbage
Negative ,not good at all
Negative ,Sam Neil is a Kiwi... his American accent just sounds wrong
Negative ,"Bought this last night on Amazon Video. And honestly, I want half my money back.. It was only OK.."
Negative ,Jurasic park becoming too fast and furious. Stupid nonsense. A trex can chase a plane.? What a stupid movie
Positive ,BEST MOVIE EVER I DEFINITELY CANT WAIT TILL THEY MAKE ANOTHER PART OF THIS MOVIE IS AMAZING
Negative ,Is it just me or this was the worst jurassic movie ever?
Positive ,I was waiting for this from so long timeee
Negative ,fucked up movie that is it
Negative ,Badest Jurassic Movie EVER!
Negative ,This movie is a piece of Sh!t.
Neutral ,Where's the little Racoon and Tree guy?
Positive ,Already $975 million worldwide at the box-office for this 3rd JW. Could 🦖🦕 reach the billion $ before September ? 👀
Negative ,"Good lord, the cgi is just becoming ridiculously bad. Lumps of cgi material running around"
Negative ,"Among many issues with this movie, the lighting, in particular, was poorly executed. Not realistic and very inconsistent. Distracting."
Positive ,Saw this movie and wow I really enjoyed it and definitely gonna watch again
Negative ,Horrible bullshit movie... total waste of time
Positive ,"is this the last movie of jurassic world , cause i am a fan of jurassic movie's"
Positive ,This movie is academy award material. Jeff Goldblum’s acting is everything we’ve come to expect.
Positive ,i seen this incredible movie 3 times
Positive ,Say what you want to say about this movie. I will defend it with my life.
Neutral ,girl growing older
Positive ,I enjoyed this movie and the Movie Theatre yesterday.
Negative ,I like my guys how I like the new JP films ; ruined
Negative ,Bad movie and boring. Why all new movies are bad wtf
Negative ,This movie was a insult for everyone’s childhood
Positive ,"Very empowering, stunning and brave."
Negative ,"Nah, tbh this movie was over-hyped, I mean WAY to over-hyped, and estimated.."
Negative ,"Weak, disappointing movie. Two thumbs down."
Negative ,Fucking boring from start to finish.
Negative ,"This trailer overpromises. There, I said it."
Positive ,I'm so gassed up about to watch for the first time looking sick 😎
Negative ,Super wrost movie
Negative ,Not bad but full of all the woke messages of today's movies
Positive ,Good 👍👌
Positive ,Good film Well done on the effects and cgi
Neutral ,Didn't this movie already come out years ago?
Positive ,Honestly I have no idea why people hated the movie I loved it.
Negative ,Watched this last night gotta say its not as good as the 1993 one it was that awful i fell asleep through it a couple of times
Positive ,Nice movie❤❤
Positive ,"Laura Dern still looks beautiful at 54, Sam Neill is 74, still looking well for his age, Jeff Goldblum the same, time has been kind to them."
Negative ,most boring movie in all jurrasic parts
Negative ,"They made the trailer look good, them was the only good parts in the whole dam movie so mad I wasted my time and money"
Negative ,Traaassshhhhhhh
Negative ,#NOTE do not waste your money on this boring a** movie they talked for hour and half the whole dam movie
Negative ,This movie hurts more then my dads beatings
Positive ,This saga made my childhood awesome ✌️
Positive ,Definitely better than Jurassic world fallen Kingdom
Negative ,Worst movie I've ever seen. So glad the trilogy is finally over. Maybe the next ones will be in the hands of competent people next time.
Negative ,horrible had to stop watching
Negative ,"4 out of ten at best , seriously disappointed !!"
Negative ,ZZZZZZZZzzzzzzzzzzzzzzzzzzzzzzZZZZZZZZZZZZZZZZZZZZ
Negative ,Feels off. The dinosaurs didn't feel as scary as the older movies. not a lot of chaos
Positive ,Stunning 😍🔥
Positive ,"Yeah,old school actors,i will watch it for this reason."
Negative ,In this case life found a way to f up a franchise
Positive ,"All those dinosaurs and the threat was from giant locust, bit silly but I did enjoy the film"
Negative ,Very bad film. Had to turn it off. Wow
Negative ,"Ah yes, genetically engineered bio weapons to ""accidentally"" reduce the world's population. So glad it's just a movie...I want my 20 bucks back!!"
Positive ,"I'VE GOT JUST ONE WORD FOR THIS MOVIE!... RIVETING,AWSOME, EXCELLENT, A MASTERPIECE!!!! GOOD WHOLESOME FUN!!!!! REALLY A MUST SEE! ACTION PACKED! 😎👌A-OK 😎👍AWSOME ☆☆☆☆☆💯%"
Negative ,"A movie for a long time without benefit, don't like it"
Negative ,The beaded curtains in the plane was the overkill for me....
Negative ,Man this movie really sucks. I wish it was rated R and was more horror
Negative ,This is trash. This whole concept of learning to live with the dinosaurs is super corny. The cgi is terrible and the story is garbage.
Positive ,I saw the movie last night. I really enjoyed it. I thought it was a good send off for the franchise.
Negative ,Trash film.
Negative ,This movie was so bad
Neutral ,Im not a bot
Negative ,well now I feel as though I've watched the movie and it seems bad
Negative ,I hate how this movie was more about humans than it is about dinosaurs. And the ending sucks
Positive ,So cool 🦖🦕🦖🦕
Negative ,What a pile of crap...They have quite literally 'cut and pasted' all of the scenes from all the previous movies and changed the faces of the actors.
Negative ,Sorry but I didnt like it . IM A JURASSIC FAN JUST I DIDNT LIKE THE STORY OF THIS ONR
Positive ,"This trailer gave me chills, and I wasn’t even alive when the first one came out!!!"
Negative ,lame
Negative ,It couldn't get even more cheese. Will not be seeing this one.
Positive ,Damn this was the best movie probably in the world especially with all of the Og’s in the last one
Negative ,To be honest I paid $13 to see this movie and if I would’ve known ahead of time I was gonna be asleep half the time I would’ve stayed my butt at home 😭🙄
Negative ,Terrible..
Negative ,Easily the least impressive movie from the franchise like if you agree
Negative ,"The plot was just terrible. Don't get me wrong, I loved the 1 & 2 movie but this one was just not good."
Positive ,woow its amazing!
Negative ,"save your time, watch first instead"
Negative ,worst jurassic park movie so bad
Negative ,Go woke go broke
Negative ,"CGI hasn't improved in over 10 years. These dinosaurs should look real by now but they dont, hollywood needs to update their software."
Negative ,So many people loved this movie while I’m sitting here thinking « did we watch the same movie? ». 😭🤣.
Positive ,I watched this and the ending is great
Negative ,0/10 wast of time
Neutral ,Mario in to the yoshi island the movie
Negative ,Pure garbage.
Negative ,These are turning into the next fast and furious movies. Absolute trash.
Positive ,It looks exciting🤔👍🥳
Negative ,Dumbest film i ever did saw!
Positive ,Kinda good movie
Negative ,Simply awful watched it today. If one removes the dinos from this movie it won't affect much. Dinosaurs were extras in this movie
Negative ,This movie is so bad….
Negative ,How did this look good to anyone?
Negative ,Probably the worse Jurassic park  movie  !!
Positive ,l saw movie again 4 times did not saw the first trailer and l love it it best movie l ever see of my life.
Negative ,Movie is straight cheeks! Complete waste of time!
Positive ,Can't Wait!
Negative ,JURASSIC WORST - WORLD DISASTER OF A MOVIE. Fixed the title for everyone
Negative ,This movie sucked.
Negative ,terrible movie
Negative ,worst ever! overusing the hand sign when it get popular in previous one.
Negative ,"if this is the best they could do, happy to see the extinction of the Jurassic movies."
Positive ,ITS GRATE JURASSIC WORLD FOREVER!!!!! ❤❤❤ I LOVE IT!! ❤❤
Positive ,N.......I........C.........E       movie
Negative ,Did they learn nothing from the fast and furious franchise? They are more interested in theatrics than the original story line.
Negative ,"It was almost pasable (never good, just pasable) but there were some dinosaurs in my locusts movie."
Positive ,"Movie ain’t a good Jurassic park movie, but I actually kinda liked it."
Positive ,Best Movie Ever In My Opinion No Cap
Negative ,WHAT WERE WITH THE LOCUSTS IN THIS MOVIE DUMB PLOT LINE
Negative ,Stupid movie
Negative ,I think this is the worst Jurassic Park movie ever made. Even Jurassic made in 90s better than this one. Terribly made.
Negative ,(sigh) It’s another unnecessary sequel. Some people just can’t let go of past glory.
Positive ,"The film was overall very good. It took a bit to get going, but very worthwhile if you stay for the whole thing.  Thanks for making this film.  Quite enjoyable"
Negative ,This movie was the worst thing to happen to dinosaurs since the extinction event 65 million years ago.
Negative ,I would rather go to prison than have to watch this film again. Its god damn awful!!!
Negative ,This movie is American garbage at its finest. I have nothing good to say after watching this. I can't even think of a movie that is more poorly made. its a disaster.
Negative ,"Lazy acting, lazy dinosaur fights and most importantly a lazy story. I love the Jurassic movies since childhood, I was hoping not to be disappointed, but I’m wrong."
Negative ,predictabel lame and cringyy!!
Negative ,the old one was much much better
Positive ,Jurassic park 1993 and this movie is my favorite all time
Positive ,I watch all jurassic park movies but this movie is very beautiful this movies story is amazing.  Thanks a lot of team to making this movie love u
Negative ,This movie was such a disappointment
Positive ,"I love this movie! If you haven’t seen it yet, I would highly recommend it"
Negative ,Trash 🗑️
Positive ,"Life, will find a way.so true 🤗"
Positive ,I hope they're going to make another Jurassic world domination part 3
Negative ,I’ll never watch this trash movie again
Positive ,I love watching every Jurassic movies
Negative ,Are there enough Dinosaurs of color and LGBTQ+etc  Dinosaurs to please the libs?
Negative ,"What were you thinking, plot is trash acting abysmal (apart from Chris pratt) piece of advice an extreme diversity cast doesn't make the movie magically good.."
Negative ,This movie is fucking trash. Over paid actors running around looking like they directing traffic... pathetic
Positive ,The baby dinosaur is cute so this the one with a long neck
Positive ,Is so cool you should make more Jurassic world movie Universal
Positive ,Cool
Negative ,I love the entire franchise but this movie took a hot pile of shit on it. They even managed to mess up the reunion of the old cast.
Negative ,This sucked. Full woke and a lot of garbage acting.
Negative ,I’m kind of disappointed. It felt so badly done and the acting was kind of bad too in my opinion :/
Negative ,Workassic park. Good Lord. What a shitty movie.
Positive ,wow allan grant is back
Negative ,The only Jurassic movie from the franchise that I will never watch again. This movie is so boring.
Negative ,Worst one out of the lot - 3/10
Negative ,This movie was an insult to the intelligence of all those that watched it.
Positive ,Watched it tonight 💞 nothing wrong about film its amazing 💖
Positive ,This is going to be epic and one of the good Jurassic films!
Neutral ,"Life will find a way, but will not find feathers"
Neutral ,Imagine if scientists are able to bring back dinosaurs.
Positive ,Im so excited to see jurassic world and s5 jurassic world camp!! 😀😀😀
Negative ,Terrible plot and somewhat bad acting
Negative ,I really hope this is the last Jurassic movie.It sucked balls.
Negative ,this stinks
Positive ,Why does it have to be the end
Negative ,"Did they let Vin Diesel direct this movie? No exaggeration, worst movie I’ve seen in a few years."
Negative ,This movie sucks so much balls if you think it’s good you have bad taste in movies
Negative ,Is this a movie or a documentary after a hour a swith off
Negative ,such an awful movie. atrocious stuff... shameful that anyone could make such a steaming pile of Dino dung..... this is literally only fit for the bin
Negative ,Why did it feel like a dummed-down version of all the Jurassic movies combined? This is literally the most sleepy movie I've seen...
Negative ,Corny and distinctly average.
Positive ,Hopefully this will be good and not boring and corny.
Negative ,The CGI doesn't look good
Negative ,The silly synth trumpet sound and dino vocalization footage at :26 made me laugh
Negative ,"shit movie, shit acting, shit dinosaurus"
Negative ,This movie was a horrible POS that made a mockery of everything that came before it.
Negative ,Hands down the worst movie of the year I've seen
Negative ,Jurassic World and the second one is exciting but the 3rd one might be so boooring!!
Negative ,I don't want to watch this stupid  movie stop showing up in my feed this movie is trash and it's garbage.
Negative ,This stupid trailer is super misleading
Negative ,This movie is the best of the worst. Cringe from A to Z.
Negative ,Idk I felt like the actors were half  assing their performance in this movie
Negative ,0/10 waste of time it's  a 🗑 ...
Negative ,This is probably the worst movie I have ever seen. Hard to believe that they messed up every single scene and every single dialogue...
Negative ,"Worst movie of the summer, I should have waited until 2023 to see it free."
Positive ,Me and my class got to see the premire :D
Positive ,I haved see it on 19 June its a good movie
Negative ,wtf is this shit? :D looks like tim coock got some dinosours in postapoccaliptic world :D
Positive ,I love how we still have the old characters from other jurassic worlds and jurassic park
Positive ,I just watched the movie like 5 minutes ago. It was amazing.
Negative ,This episode is really2 dumb all of time bad episode. Pls don't watch it is you will wasting time
Positive ,If you haven't seen the movie I Dominican ram you should go watch it it's very good they bring all the old characters from the first movies
Negative ,Too much excessive computer graphics
Negative ,seriously what did they want to prove with this shit ? like seriously why did i watch this movie lol
Negative ,THIS PART IS MORE A VIDEO GAME THAN A MOVIE .. HORSESHIT
Positive ,Baby of the Blue is so sweet. I like him.😍😍😍
Negative ,"Another worst movie out of the pipeline following nwh, resurrection"
Negative ,Dinosaurs.. in the snow...               what the...
Positive ,I liked it but my only gripe is the girl never faced any punishment for releasing the dinosaurs
Positive ,I could watch this all day!
Negative ,Super flop
Negative ,"The original ""Jurassic Park"" movie was good in 1993 and the last movie in the franchise ""Jurassic World: Dominion"" is going to stink badly in 2022."
Negative ,This movie is an insult to the Jurassic park franchise
Negative ,You're not gonna believe it -- it's much worse than you expect it to be.
Negative ,This Movie Is Not As Good As Jurassic Park Movie
Positive ,masaterpiece!
Negative ,I couldn't believe how bad this move was a complete disappointment
Negative ,Don't waste your time like me.
Negative ,I heard this movie is a pile of dinosaur shit.
Negative ,worst Jurassic movie EVER!!!
Positive ,I watched that movie and guess what y’all I got scared and almost Cried 🤣🤣🤣🤣
Negative ,Flop!!
Negative ,Nothing like the original film...not even near...
Positive ,What an awesome movie. It gets your heart beating! I watched it in 4DX and it didn’t disappoint 🍿😅
Negative ,I think I inured myself from rolling my eyes so much while watching this movie.
Negative ,"The old farts are back, BUT this time, with MANDATORY black persons near them....what a waste of time was this ""movie"" 🤮💩"
Negative ,this is the worst jurassic movie corny acting trash scenes what else yea weak story nothing new
Negative ,"Turns out… this movie was dog shit, worst one of the series."
Positive ,Nice to see a Therizinosaurus in this movie.
Negative ,movie was absolutely garbage
Negative ,What a trash movie. It had so much potential and you just wasted it.
Negative ,"Terrible movie, the worst of all. Acting is very weak."
Negative ,"Shame this film was so shit,"
Negative ,"Gotta be honest, i walked out of that movie, story line was disappointing and also the CGI straight up sucked."
Negative ,bad movie what a waste of time
Positive ,I love this movie I saw it for my birthday.
Positive ,Love the old moves of this the new one is great these people are great actors
Negative ,shit movie
Positive ,Wonderful movie lotsa Dino nice
Negative ,This movie is an insult to the original. Utterly disappointed. ☹️
Positive ,Really interesting.  Starts saying its been 30 years.  But no one has aged.  Amazing.
Negative ,They do not know how to make a Jurassic park movie. 🤦‍♂️
Negative ,Waste. I could of did better🤣
Positive ,I can’t wait for this movie
Negative ,Stop making this francise its boring same old plot
Negative ,This movie sucks compared to the ones before
Negative ,Straight up ass movie glad I torrented it
Negative ,"i will never be able to watch this movie in full, because i sleep under normal circumstances"
Negative ,Garbage film
Negative ,Extremely dumbest scene have been shown in this movie ....flop flop flop
Neutral ,I am seeing this in 4d
Negative ,The first Jurassic World still remains the best one sorry this movie kinda let me down a little 🤷🏽‍♂️
Negative ,What crap.. please don't make anymore of these movies. You are ruining the good ones that were made before this garbage
Negative ,Terrible movie
Negative ,Walked out after 33 minutes . BORING!!!! where the wild things are was more exciting! And I'm talking about the book
Negative ,🙄🙄🥱🥱🥱🥱🥱🥱🥱🥱 ridiculous move
Negative ,terrible CGI
Negative ,This is not jurassic world it's Locust world
Negative ,This movie was like my job could not wait until it was over way too long
Negative ,The wokegenda manage to get into Jurassic Park… sht 🤦🏻‍♂️😂
Negative ,Just saw the MOVIE its HORRIBLE BAD !
Negative ,I made it past the 15 minute mark of this shit show.... dont think ill ever watch the whole thing.... franchise dead as can be
Positive ,Life will find a way .. best dialogue ever
Negative ,The StoryLine was super fake so disappointed why they created this kind of shits n burying the old good ones
Negative ,This movie was stupid I couldn’t even finish watching it way too boring!!
Neutral ,That's for changing it to buy
Positive ,Dr. Lewis Dodgson looks like Tim Cook and  Biosyn look like apple park. so nostalgic.
Positive ,Still had fun despite the rotten tomatoes score. Maybe fast and furious and Jurassic can crossover after 10&11
Negative ,god was this movie terrible
Positive ,This is amazing
Positive ,All these dinosaurs look sick
Negative ,They dropped the ball on this one.....LAME!!!
Positive ,Pure magical that the old actors are here in the last movie but I loved the series as a kid and I loved this movie more than anything 💜
Positive ,What a great movie some scenes are just like the old Jurassic Park xx just WOW 👌
Negative ,please no more
Negative ,The classical background music all over the fking movie killed me.
Negative ,Watched it  -rating: 5/10
Positive ,I loved the trailer and the movie did not disappoint! Sure there were some meh moments but I liked the movie overall. 9/10.
Negative ,Sorry but this is worst so far
Negative ,Very dumb movie…
Positive ,Well that was good.
Negative ,I TORRENTED IT AND STILL WANT A REFUND
Positive ,nice!
Negative ,"It's sucks, honestly don't bother if you're a fan of the original movie and cast."
Negative ,"It should say ""experience an epicly stupid story""."
Negative ,this must have been written by a a genderless woke ideologist with an underdeveloped brain
Negative ,I like the othet movies much bettet
Negative ,Left at min 40. This movie trash can water in my opinion 🤷🏻‍♂️
Negative ,"Jesus..the most boring,stupid and idiotic movie in the series ! almost felt at sleep !"
Positive ,it is gona a Blockbuster movie
Negative ,Just watched it. The worst jurrassic movie ever.
Positive ,I hv watched it just NW. It's amazing. I love it😙
Negative ,Fucking terrible movie.
Positive ,I was very pleased that a gay lesbian theme was added into this dinosaur movie
Negative ,What a shitty Movie is this
Negative ,I was just frowning the entire movie.. from the start it keeps getting worse and worse
Negative ,Chris Pratt seemed soo unmotivated LOL
Positive ,The wait is over
Negative ,"Horrible cast, except the old one and poor story."
Positive ,"Dinosaurs never existed, fam. Richard Owen is a mad scientist for this. 😂 Cool film though. 🙏🏾"
Negative ,Honestly...boring...and too long...drawn out and ...3 yawns.
Negative ,"I love Pratt, but this movie is total trash. Very sad."
Negative ,What a shit movie its not Jurrasic park/world anymore
Negative ,Straight up garbage!
Positive ,non less expected than this.just the way that film shows how great is .
Positive ,This gonna be an epic film ever 😎
Positive ,I saw the movie and this still gives me chills and goosebumps.
Negative ,Movie is boring af 😒
Positive ,"Just saw this film in theater, quite good."
Positive ,Just finished watching this at the movie theaters. LOVED ITTTTTTTTtt
Positive ,2:08 - 2:40 . My favourite part of the trailer
Negative ,What a pile of rethreaded trash
Negative ,First movie I’ve walked out because it’s so boring
Positive ,Nice movie
Positive ,Just saw the movie and it was awesome!
Positive ,I haven’t watched it but I think it’s a good movie
Positive ,Omg I thought blue died I'm so happy he is back🤩🤩😃
